record_id,hex,type,PT1_outer_graves,PT2_jeet,PT3_gutgash,PT4_pinkeye,PT5_deepfriah,PT6_100pct
0,0x0000,64B,b61e3f3e6ff772326b807b3f00000000c0f3eab30000803fef8cdb31000000006b807bbf7b62e9b3b61e3f3e0000000023a74cc5b02a9d4344d4c8450000803f,b7fb0c3d007e4ca72bd97fbf000000007e4390a70000803fe48c56a7000000002bd97f3fdcde9327b7fb0c3d00000000afc660c5765ff9435d6d77450000803f,a9377e3fc62020346343f1bd00000000c5f929b40000803fb61793b3000000006343f13dba1dba33a9377e3f00000000afb8dcc53258b743437797450000803f,fc6b24bffd7d4ca7c937443f0000000070adbe260000803fa657ad2700000000c93744bfdade9327fc6b24bf000000002f33d8c5738a0144925131c20000803f,447b88be5b19e633b3bc76bf00000000c97eb8330000803f02b6bb3300000000b3bc763f93907fb3447b88be00000000243b75c510b5ee4353f9a6c40000803f,447b88be5b19e633b3bc76bf00000000c97eb8330000803f02b6bb3300000000b3bc763f93907fb3447b88be00000000243b75c510b5ee4353f9a6c40000803f
1,0x0001,u64,3900575552,3129139326,3330051353,1190493391,2707624824,2707624824
2,0x0002,u64,2933224970,2309974953,3574525536,0,0,0
9,0x0009,u8,1,1,1,1,4,4
49,0x0031,u8,1,1,1,1,4,4
71,0x0047,u8,1,4,4,4,4,4
87,0x0057,u8,0,0,0,4,4,4
105,0x0069,u8,0,0,0,4,4,4
119,0x0077,u8,1,1,2,4,4,4
122,0x007A,u8,0,0,4,0,0,0
137,0x0089,u8,1,1,1,4,4,4
191,0x00BF,u8,0,4,4,4,4,4
200,0x00C8,u32,0,0,0,0,9887.99,9887.99
201,0x00C9,u8,1,1,1,0,4,4
253,0x00FD,u8,0,4,4,4,4,4
259,0x0103,u8,1,1,1,0,4,4
281,0x0119,u8,1,1,1,1,1,4
307,0x0133,u8,1,1,1,1,4,4
341,0x0155,u8,1,1,1,1,1,4
346,0x015A,u32,0,0,0,0,0,4500.56
347,0x015B,u8,1,1,1,1,1,4
367,0x016F,u8,1,1,1,1,4,4
379,0x017B,u8,1,1,1,4,4,4
405,0x0195,u8,1,1,1,1,4,4
418,0x01A2,u32,0,0,0,0,0,12576.81
419,0x01A3,u8,1,1,1,1,0,4
499,0x01F3,u8,1,1,1,1,4,4
509,0x01FD,u8,1,1,1,4,4,4
