05D54FDE	out_pos
081B7A9E	in_max
0A1B210D	id
0A7C4A95	out_transform
13E69FE3	wrecked
1C903D49	despawn_ids
1E8D41B7	out_size
257CDA5A	not_spawned
259ADD5A	in_array
2780DB4A	next_pass
34076868	road_distance
38CC60AA	in_position
3AC27D31	in_transform
3C5FD437	in_rotation
4483C4D5	reset_in
5347313A	in_objects
75DD9B5C	relic_id
7D3A868C	name_hash
7EA30864	resource_object
812DCA3D	in_interval
89A3958D	debug_text
9585D45C	out_priority
96F2F63C	in_object
AEAB5CF7	spawn_id
B7B270AF	in_state
BAFB74B7	convoy_data
C3A5E3EF	in_pos
C422A04D	speed_max
C447B5C7	out_int
C8C97F5D	frame_amount
C94BA74A	in
D635E176	economy_resource
E3E153A7	wreck_transform
ECD31B30	unlocked
F4E04B74	encampment_anchor
